date,confrontation_index,positive_count,negative_count,positive_influence,negative_influence
2020-01-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-03,3.754364448671581e-05,0.0,3.0,0.0,3.0
2020-01-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-07,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-10,5.005819264895441e-05,0.0,4.0,0.0,4.0
2020-01-11,0.00020023277059581763,0.0,16.0,0.0,16.0
2020-01-12,0.00015017457794686323,0.0,12.0,0.0,12.0
2020-01-13,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-14,6.257274081119301e-05,0.0,5.0,0.0,5.0
2020-01-15,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-16,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-19,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-20,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-22,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-13,5.005819264895441e-05,0.0,4.0,0.0,4.0
2020-02-14,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-02-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-19,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-25,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-29,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-03,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-06,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-07,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-11,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-14,1.2514548162238602e-05,0.0,1.0,0.0,1.0
